K O.,/user_details?userid=WrrSfj4wQFTI4rHK44Kqvg,"Brooklyn, NY",2/28/2023,5.0,"Love Vineapple! Delicious hummus, great mulled vine - a very charming Brooklyn spot.",https://www.yelp.com/biz/vineapple-cafe-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sara B.,/user_details?userid=84t6jpyclA55TMfMV0X0kA,"Morristown, NJ",12/6/2022,5.0,No comment,https://www.yelp.com/biz/vineapple-cafe-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alex M.,/user_details?userid=DvL6N0HgYiZVZAGylnVi-g,"New York, NY",10/24/2022,4.0,No comment,https://www.yelp.com/biz/vineapple-cafe-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Rachael M.,/user_details?userid=2TVb_nXC9HO1jpwvu4XkKg,"New York, NY",3/24/2023,5.0,Beautiful space with large indoor seating area and outdoor seating. I love that they offer coffee in mugs and glasses instead of only disposable cups. They offer a lot of food and are a bar in addition to coffee and pastries - I'll have to come back!,https://www.yelp.com/biz/vineapple-cafe-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Elaynna B.,/user_details?userid=Bpsf5AX4KZ3GbQqkttOlkw,"Washington, IN",3/6/2023,5.0,Great local brunch / coffee spot. Perfect to bring family or friends visiting. Not on the main drag in BK Heights which was nice to have some attractions on a side street. Decorated so cute on the inside with their fun pineapple theme. Would also come back for a coffee to go. Seems like they may have a night life too with their loaded bar. Will be back!,https://www.yelp.com/biz/vineapple-cafe-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kayla S.,/user_details?userid=T9FvVJ1n5YoV1sAGJZM6Eg,"Oklahoma City, OK",11/5/2022,4.0,No comment,https://www.yelp.com/biz/vineapple-cafe-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sarah S.,/user_details?userid=BUgsswZD3aAeZRsF7JdoXw,"New York, NY",4/9/2022,5.0,No comment,https://www.yelp.com/biz/vineapple-cafe-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jillian B.,/user_details?userid=kJf1EKBbNK5qbSm5ofUFOg,"New York, NY",8/31/2022,4.0,Cute little cafe that has a few tables outside and more tables inside than you'd anticipate at first glance. Good brunch option in the area. They do jazz nights on Sunday which I've been meaning to go to but hasn't yet.,https://www.yelp.com/biz/vineapple-cafe-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Zayn S.,/user_details?userid=M2lvj2bvvSK8-JFzuKay1g,"New York, NY",1/11/2022,5.0,No comment,https://www.yelp.com/biz/vineapple-cafe-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Paul K.,/user_details?userid=4m4YcVmplaD7xWoVgfsbLg,"Flatbush, New York, NY",1/23/2023,5.0,No comment,https://www.yelp.com/biz/vineapple-cafe-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
