Chloe K.,/user_details?userid=YvVgMUzdboi4yHy8xnuf5Q,"Los Angeles, CA",3/3/2023,5.0,"Edy and Josh are the BEST bartenders. We had a great time, drinks were amazing! Have gone twice now and will definitely be back"
Warren L.,/user_details?userid=UD43IzGnKgZhRrZK1Tj4XA,"East Brunswick, NJ",6/11/2021,3.0,Went there on a Wednesday night. The place was pretty busy.  The wait staff said they were not quite prepared for the amount of customers.  With that being said.  The service was good and friendly.  The cocktails were good.  Atmosphere was hip.  The food was just ok.  Yuca fries was interesting and good.  The burrata was in a weird sauce. The roasted tomatoes were ok.  The empanadas were good. Pork belly was good.  And the Rib eye was just ok. It was a pleasurable dinning experience.  Not sure if I would go back,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Xiaowei W.,/user_details?userid=J5JFGk0xF67-7usZIUPcLQ,"Morningside Heights, Manhattan, NY",12/15/2022,5.0,"It's Colombian owned but the food style is European-esque, reminds of places in Basque Country. The burrata in squid ink leek sauce is amazing, I don't see anywhere is doing it in the city.",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Al S.,/user_details?userid=9ZT1pDaBkuU3OpSyeydFVw,"New York, NY",11/8/2021,5.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Natasha N.,/user_details?userid=iPMWuk86thWCSSRYF0Drsw,"Rego Park, NY",9/21/2021,1.0,I would never come back to this place everything over price for greasy and test less food very bad experience and sick after that,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Elizabeth P.,/user_details?userid=lGK9O4mERFJ8KrMsffLgkg,"Englishtown, NJ",3/8/2022,5.0,"absolutely delicious! they have this sauce that you can put on any of their dishes which was to die for (i'd love the recipe!). their chicharron was perfectly crisp and the wagyu brisket was amazing as well. for dessert, id recommend the panna cotta. servers were pleasant and so patient with all our questions",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Janet Z.,/user_details?userid=gzILMpu4yfCknUBccTHSgQ,"Dayton, South Brunswick Township, NJ",2/18/2022,5.0,"Super cute vibe with poster (keith herring poster!) and a bar. We ordered the empanaditas, yucca fries, wagyu brisket, and panna cotta. Everything was delicious and cooked amazingly and the service was friendly! The taste of the papardelle was so good and the texture of the yucca fries was crispy outside and soft inside. The panna cotta was amazing and smooth. Honestly everything was good and I'm definitely going back",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Quan T.,/user_details?userid=Se31HDxwz076579xZAUurQ,"Brooklyn, NY",5/24/2021,5.0,"Probably one of the hippest restaurants in Brooklyn! I'm so glad I found this little gem in my neighborhood. The food is amazing and the servers  were super friendly. I also love the vibe here, romantic and also family friendly at the same time. We got four dishes here (three apps and 1 main dish to share) and it was more than enough for two! The empanditas and the Spanish rice were amazing! The menu changes weekly(?) I think. It's definitely a surprise but it's always amazing so it's like an amazing surprise. Overall, 5/5! Definitely coming back!",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Gary B.,/user_details?userid=gL6hMuws_XCUAF6PjIHYww,"New York, NY",7/1/2022,1.0,"Came here for pride this past weekend and was debating on leaving a review. Good drinks, ok food, but the thing that turned me off was watching the chef/owner? (Unclear) yell at her staff in a front of a full crowd....it was not cute. I don't think I'll be back, seems like a toxic space.",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tanya G.,/user_details?userid=qwIhu9qDYfz-qfViYhBRPg,"New York, NY",11/8/2021,3.0,"Wayyyyyy overpriced for the neighborhood. Listen there is a handful of better Colombian restaurants in the area that are more economically priced. We came in because we grew up in the neighborhood and are Latinos. Don't get me wrong the food is pretty decent but the portions are crazy small for its price. I recommend coming for a happy hour because the drinks are very good and with happy hour price not bad, we split two apps ad walked somewhere else to gets tacos to fill us for the night. I also wished to see more Latin influences inside the space, but looks like your typical hipster urban outfitters deco.",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Katie M.,/user_details?userid=80aW88LutBnkQ_0hyIBmjw,"Washington D.C., DC",2/9/2019,5.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kate D.,/user_details?userid=gFqZiG6X9CqDPWi2ySV73w,"Orlando, FL",6/7/2022,5.0,Wonderful experience. Great food. Friendly and kind staff. I'm gluten free and most of their menu was adaptable or gf already. Highly recommend!,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ali M.,/user_details?userid=9MOdqr4wh8RY1I8ajuUdGw,"Los Angeles, CA",5/10/2022,5.0,Amazing restaurant!!!! Such a great selection of natural wines and those Empanaditas were probably the best I've ever had!  I'll definitely be returning soon!,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Scott D.,/user_details?userid=02MnFVjN172noklzpvJpKw,"Stamford, CT",3/7/2022,3.0,Very nice people. Very nice place.  Food only ok. Had two dishes  - the duck egg arepa and the carrots with anchovy butter - that sounded delicious on paper but were swimming in butter - as if richness was the answer. The arepa itself was very good. The roasted carrots had a caramelized appeal.  But both drowned in a butter swimming pool. Pappardelle with brisket was ok not great. Hamburger had something weird going on. That said the place itself was warm and welcoming.,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alexa A.,/user_details?userid=TlfbpZzypN6cN_1aEDXORw,"Berkeley, CA",6/28/2019,5.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Camille K.,/user_details?userid=2KEY9K41sJORN8b-asPefA,"Brooklyn, NY",11/8/2020,5.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Shawn A.,/user_details?userid=EhSavSs71elIGJntHzVivA,"San Diego, CA",11/22/2020,4.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ada Y.,/user_details?userid=3k7OcQq_nmI3Ti_xN4PNEw,"New York, NY",7/24/2020,4.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Claire F.,/user_details?userid=0Jx1gqcnlQyKcGUe9GCLyg,"Saint Louis, MO",2/17/2021,5.0,"Best food in the neighborhood!! The black truffle gnocchi is the best gnocchi I've ever had. Brunch is great, too. Wish they were open Saturday for brunch!",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
