Katherine D.,/user_details?userid=Otht-HpBoVS42mCLGIQ-jA,"Brooklyn, NY",2/10/2023,5.0,No comment,https://www.yelp.com/biz/xus-public-house-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ricky Z.,/user_details?userid=lqMZ_WRiA8swsM6PRhHogQ,"New York, NY",2/12/2023,3.0,No comment,https://www.yelp.com/biz/xus-public-house-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Wendy O.,/user_details?userid=IlaorEbdX6Z3uiBftGoPZA,"Jamaica, Queens, NY",2/5/2023,4.0,No comment,https://www.yelp.com/biz/xus-public-house-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jennifer S.,/user_details?userid=QqZoiKd2lT4Joec-E6YCyw,"New York, NY",4/2/2023,4.0,"Xu's Public House offers some delicious dishes in a swanky setting!  I don't eat seafood so we stayed away from their extensive seafood selection. We loved everything we ordered. The snow white pork buns were exceptional. The outside is crisp but then instantly give way to a fluffy, slightly sweet dough and savory filling. We also ordered the sheng jian boa, but they were showed up by the snow white pork buns. The Shanghai soup dumplings were excellent. The dough was thick like I like it and the filling was hearty and delicious, especially dipped in the vinegar sauce. The beef chow fun was very tasty as were the sauteed pea shoots with garlic (these were even better than Han Dynasty's because they were less garlicy). The scallion pancakes and egg tarts were also good, but not as special as the other dishes. In addition to the yummy food, the service was very attentive.",https://www.yelp.com/biz/xus-public-house-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lisa F.,/user_details?userid=CqEoo425U-dM53svYgOvwA,"New York, NY",12/18/2022,5.0,No comment,https://www.yelp.com/biz/xus-public-house-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ming C.,/user_details?userid=v1QT7eLl2OZFRc6xm10hPQ,"Queens, NY",12/9/2022,5.0,No comment,https://www.yelp.com/biz/xus-public-house-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jenny Z.,/user_details?userid=PwnQwozI7qsv3SadE9S9DA,"New York, NY",2/18/2023,5.0,"This is a really solid Chinese place. Dishes all tasted pretty good across the board. Favs: chicken with assorted veggies, the grilled fish filet, pea shoots, pinecone fish, XLB also good. Environment is chic inside. Overall great place.",https://www.yelp.com/biz/xus-public-house-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ried S.,/user_details?userid=bsFdQ_r7fUbFBPyXM06Phg,"New York, NY",11/13/2022,5.0,No comment,https://www.yelp.com/biz/xus-public-house-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alex Z.,/user_details?userid=Pe-aZlHTn3P8NId5WDP3fQ,"New York, NY",11/14/2022,5.0,No comment,https://www.yelp.com/biz/xus-public-house-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sarah T.,/user_details?userid=8pqDKUDlf4noSU2tDJfjlA,"New York, NY",1/26/2023,1.0,No comment,https://www.yelp.com/biz/xus-public-house-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Cherrilyn B.,/user_details?userid=FpNGrderunF_-4CKRqND4w,"New York, NY",11/29/2022,2.0,"Came in for lunch to go and there was a hair in my chicken corn soup :(((( the ambiance is great, food came out fast, they let me sit at the bar as I waited for my to-go order and even gave me water. Unfortunately I couldn't finish my soup due to the hair. :(",https://www.yelp.com/biz/xus-public-house-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jodie L.,/user_details?userid=fBlkB5g8dED90QcSpu3JbQ,"New York, NY",12/22/2022,4.0,"I came with my bf on Sunday night for dinner after visiting the Union Square market. We ordered salt and pepper squid and it was tasty. The batter was light and crispy. We also ordered the dim sum platter aka the Three Kinds of Dumplings which comes with 2 prawn dumplings, 2 Su Mai and 2 Bamboo Fungus dumplings and their Singapore Mai Fun. Service was friendly and attentive.",https://www.yelp.com/biz/xus-public-house-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Liz C.,/user_details?userid=CpwjshoVRchHY-5ai3TPOA,"Manhattan, NY",12/19/2022,4.0,No comment,https://www.yelp.com/biz/xus-public-house-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jenny C.,/user_details?userid=IRhpueRM0lSjFAqFAvuDsg,"Brooklyn, NY",12/8/2022,5.0,No comment,https://www.yelp.com/biz/xus-public-house-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tony S.,/user_details?userid=cCnmW_BUmQrqqo6icIH4Tg,"New York, NY",3/22/2023,1.0,"I ordered Kung Pao Chicken, I have no idea what recipe that  the chef follows to make this dish. It is totally different from traditional Kung Pao Chicken that I have eaten ever in around New York City and the world. It tasted so bad. I have order same from fast food Chinese joints which is better than this one. Horrible. They have the audacity to charge three times the price other restaurants'. DON'T GO THERE, DONT SPEND YOUR MONEY THERE.",https://www.yelp.com/biz/xus-public-house-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
